Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area, loan_amount,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0,360,1,Urban,29900000, Approved
LP001003,Male,Yes,1,Graduate,No,4583,1508,360,1,Rural,12200000, Rejected
LP001005,Male,Yes,0,Graduate,Yes,3000,0,360,1,Urban,29700000, Rejected
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,360,1,Urban,30700000, Rejected
LP001008,Male,No,0,Graduate,No,6000,0,360,1,Urban,24200000, Rejected
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,360,1,Urban,13500000, Rejected
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,360,1,Urban,33000000, Approved
LP001014,Male,Yes,3+,Graduate,No,3036,2504,360,0,Semiurban,15000000, Rejected
LP001018,Male,Yes,2,Graduate,No,4006,1526,360,1,Urban,2200000, Approved
LP001020,Male,Yes,1,Graduate,No,12841,10968,360,1,Semiurban,4300000, Rejected
LP001024,Male,Yes,2,Graduate,No,3200,700,360,1,Urban,11200000, Approved
LP001027,Male,Yes,2,Graduate,,2500,1840,360,1,Urban,22700000, Rejected
LP001028,Male,Yes,2,Graduate,No,3073,8106,360,1,Urban,11600000, Rejected
LP001029,Male,No,0,Graduate,No,1853,2840,360,1,Rural,31500000, Approved
LP001030,Male,Yes,2,Graduate,No,1299,1086,120,1,Urban,7400000, Rejected
LP001032,Male,No,0,Graduate,No,4950,0,360,1,Urban,10700000, Approved
LP001034,Male,No,1,Not Graduate,No,3596,0,240,,Urban,1600000, Approved
LP001036,Female,No,0,Graduate,No,3510,0,360,0,Urban,9400000, Approved
LP001038,Male,Yes,0,Not Graduate,No,4887,0,360,1,Rural,10300000, Approved
LP001041,Male,Yes,0,Graduate,,2600,3500,,1,Urban,14600000, Approved
LP001043,Male,Yes,0,Not Graduate,No,7660,0,360,0,Urban,19400000, Rejected
LP001046,Male,Yes,1,Graduate,No,5955,5625,360,1,Urban,14000000, Rejected
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,360,0,Semiurban,25700000, Rejected
LP001050,,Yes,2,Not Graduate,No,3365,1917,360,0,Rural,1400000, Approved
LP001052,Male,Yes,1,Graduate,,3717,2925,360,,Semiurban,9800000, Rejected
LP001066,Male,Yes,0,Graduate,Yes,9560,0,360,1,Semiurban,9500000, Rejected
LP001068,Male,Yes,0,Graduate,No,2799,2253,360,1,Semiurban,28100000, Approved
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,360,1,Urban,5600000, Approved
LP001086,Male,No,0,Not Graduate,No,1442,0,360,1,Urban,24000000, Rejected
LP001087,Female,No,2,Graduate,,3750,2083,360,1,Semiurban,31500000, Approved
LP001091,Male,Yes,1,Graduate,,4166,3369,360,,Urban,25300000, Rejected
LP001095,Male,No,0,Graduate,No,3167,0,360,1,Urban,12000000, Rejected
LP001097,Male,No,1,Graduate,Yes,4692,0,360,1,Rural,1600000, Rejected
LP001098,Male,Yes,0,Graduate,No,3500,1667,360,1,Semiurban,22000000, Approved
LP001100,Male,No,3+,Graduate,No,12500,3000,360,1,Rural,11900000, Approved
LP001106,Male,Yes,0,Graduate,No,2275,2067,360,1,Urban,3400000, Approved
LP001109,Male,Yes,0,Graduate,No,1828,1330,,0,Urban,6200000, Approved
LP001112,Female,Yes,0,Graduate,No,3667,1459,360,1,Semiurban,27200000, Rejected
LP001114,Male,No,0,Graduate,No,4166,7210,360,1,Urban,7700000, Approved
LP001116,Male,No,0,Not Graduate,No,3748,1668,360,1,Semiurban,5100000, Rejected
LP001119,Male,No,0,Graduate,No,3600,0,360,1,Urban,18100000, Approved
LP001120,Male,No,0,Graduate,No,1800,1213,360,1,Urban,24900000, Approved
LP001123,Male,Yes,0,Graduate,No,2400,0,360,,Urban,3400000, Rejected
LP001131,Male,Yes,0,Graduate,No,3941,2336,360,1,Semiurban,2300000, Rejected
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,,1,Urban,13400000, Approved
LP001137,Female,No,0,Graduate,No,3410,0,,1,Urban,27800000, Rejected
LP001138,Male,Yes,1,Graduate,No,5649,0,360,1,Urban,14600000, Approved
LP001144,Male,Yes,0,Graduate,No,5821,0,360,1,Urban,19100000, Approved
LP001146,Female,Yes,0,Graduate,No,2645,3440,360,0,Urban,20500000, Approved
LP001151,Female,No,0,Graduate,No,4000,2275,360,1,Semiurban,19100000, Approved
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,360,1,Semiurban,25400000, Rejected
LP001157,Female,No,0,Graduate,No,3086,0,360,1,Semiurban,24700000, Rejected
LP001164,Female,No,0,Graduate,No,4230,0,360,1,Semiurban,7600000, Approved
LP001179,Male,Yes,2,Graduate,No,4616,0,360,1,Urban,23000000, Approved
LP001186,Female,Yes,1,Graduate,Yes,11500,0,360,0,Urban,19700000, Approved
LP001194,Male,Yes,2,Graduate,No,2708,1167,360,1,Semiurban,24500000, Approved
LP001195,Male,Yes,0,Graduate,No,2132,1591,360,1,Semiurban,10600000, Rejected
LP001197,Male,Yes,0,Graduate,No,3366,2200,360,1,Rural,30500000, Approved
LP001198,Male,Yes,1,Graduate,No,8080,2250,360,1,Urban,18400000, Rejected
